id_servicio,titulo,descripcion,habilidades_requeridas,fecha_publicacion,estado
186,Cocinero,"Se busca profesional con experiencia en redacción, inglés avanzado, terapia física.","Redacción, Inglés avanzado, Terapia Física",2025-02-20,Cerrado
187,Técnico en soporte,"Trabajo temporal relacionado con traducción, administración.","Traducción, Administración",2025-01-25,Cerrado
188,Fotógrafo,"Colaboración independiente para tareas de servicio al cliente, diseño gráfico, ventas, electricidad.","Servicio al cliente, Diseño gráfico, Ventas, Electricidad",2024-11-21,Abierto
189,Repartidor,"Importante empresa solicita apoyo en el área de electricidad, python.","Electricidad, Python",2025-02-17,Abierto
190,Vendedor telefónico,"Importante empresa solicita apoyo en el área de javascript, carpintería, instalaciones eléctricas, administración.","JavaScript, Carpintería, Instalaciones eléctricas, Administración",2025-01-15,Abierto
191,Community manager,"Importante empresa solicita apoyo en el área de atención al cliente, html, illustrator, ventas.","Atención al cliente, HTML, Illustrator, Ventas",2025-02-10,Abierto
192,Fotógrafo,"Se requiere conocimiento en contabilidad, marketing digital, ciencia de datos, html.","Contabilidad, Marketing digital, Ciencia de datos, HTML",2024-11-24,Cerrado
193,Auxiliar contable,"Trabajo temporal relacionado con python, diseño ux/ui, programación en java.","Python, Diseño UX/UI, Programación en Java",2024-12-13,Abierto
194,Profesor de inglés,"Importante empresa solicita apoyo en el área de administración, javascript, mecánica automotriz.","Administración, JavaScript, Mecánica automotriz",2025-03-30,Cerrado
195,Editor de video,"Colaboración independiente para tareas de carpintería, seo, soporte técnico, inglés avanzado.","Carpintería, SEO, Soporte técnico, Inglés avanzado",2025-03-28,Cerrado
196,Editor de video,"Importante empresa solicita apoyo en el área de soporte técnico, photoshop, redacción.","Soporte técnico, Photoshop, Redacción",2025-03-03,Abierto
197,Fotógrafo,"Se requiere conocimiento en tramitología, administración, atención al cliente, servicio al cliente.","Tramitología, Administración, Atención al cliente, Servicio al cliente",2024-11-15,Cerrado
198,Enfermero auxiliar,"Se busca profesional con experiencia en marketing digital, carpintería.","Marketing digital, Carpintería",2025-04-22,Cerrado
199,Desarrollador web,"Trabajo temporal relacionado con marketing digital, carpintería, redacción.","Marketing digital, Carpintería, Redacción",2025-02-26,Abierto
200,Enfermero auxiliar,"Colaboración independiente para tareas de html, soporte técnico, administración.","HTML, Soporte técnico, Administración",2025-02-23,Abierto
201,Diseñador industrial,"Se requiere conocimiento en redacción, traducción, javascript.","Redacción, Traducción, JavaScript",2025-03-04,Abierto
202,Redactor de contenido,"Trabajo temporal relacionado con ciencia de datos, administración, programación en java.","Ciencia de datos, Administración, Programación en Java",2025-02-02,Abierto
203,Programador Python,"Se requiere conocimiento en css, programación en java, carpintería, photoshop.","CSS, Programación en Java, Carpintería, Photoshop",2024-12-01,Abierto
204,Vendedor telefónico,"Se busca profesional con experiencia en html, mecánica automotriz.","HTML, Mecánica automotriz",2024-11-22,Cerrado
205,Fotógrafo,"Trabajo temporal relacionado con mecánica automotriz, terapia física, electricidad.","Mecánica automotriz, Terapia Física, Electricidad",2025-02-06,Abierto
206,Redactor de contenido,"Trabajo temporal relacionado con python, traducción.","Python, Traducción",2025-02-13,Cerrado
207,Técnico en soporte,"Importante empresa solicita apoyo en el área de instalaciones eléctricas, inglés avanzado, html, redacción.","Instalaciones eléctricas, Inglés avanzado, HTML, Redacción",2025-03-08,Abierto
208,Especialista en SEO,"Colaboración independiente para tareas de photoshop, seo, administración.","Photoshop, SEO, Administración",2025-02-23,Abierto
209,Traductor,"Se busca profesional con experiencia en electricidad, redacción, seo.","Electricidad, Redacción, SEO",2025-02-23,Cerrado
210,Profesor de inglés,"Importante empresa solicita apoyo en el área de contabilidad, python, servicio al cliente, seo.","Contabilidad, Python, Servicio al cliente, SEO",2025-04-08,Cerrado
211,Programador Python,"Se requiere conocimiento en html, marketing digital, ventas, terapia física.","HTML, Marketing digital, Ventas, Terapia Física",2024-10-30,Cerrado
212,Repartidor,"Trabajo temporal relacionado con diseño ux/ui, terapia física.","Diseño UX/UI, Terapia Física",2024-12-21,Cerrado
213,Especialista en SEO,"Trabajo temporal relacionado con electricidad, terapia física, servicio al cliente.","Electricidad, Terapia Física, Servicio al cliente",2025-02-17,Cerrado
214,Traductor,"Se busca profesional con experiencia en redacción, python, marketing digital, javascript.","Redacción, Python, Marketing digital, JavaScript",2025-02-23,Abierto
215,Psicólogo educativo,"Se busca profesional con experiencia en diseño ux/ui, illustrator, photoshop.","Diseño UX/UI, Illustrator, Photoshop",2024-10-27,Cerrado
216,Cocinero,"Colaboración independiente para tareas de terapia física, marketing digital.","Terapia Física, Marketing digital",2024-12-04,Cerrado
217,Terapista físico,"Importante empresa solicita apoyo en el área de python, carpintería, atención al cliente, redacción.","Python, Carpintería, Atención al cliente, Redacción",2025-04-16,Abierto
218,Cocinero,"Trabajo temporal relacionado con terapia física, redacción, marketing digital, javascript.","Terapia Física, Redacción, Marketing digital, JavaScript",2025-02-26,Cerrado
219,Terapista físico,"Trabajo temporal relacionado con python, instalaciones eléctricas.","Python, Instalaciones eléctricas",2024-12-08,Cerrado
220,Vendedor telefónico,"Colaboración independiente para tareas de illustrator, administración, html.","Illustrator, Administración, HTML",2024-11-29,Abierto
221,Especialista en SEO,"Importante empresa solicita apoyo en el área de ventas, contabilidad, css, photoshop.","Ventas, Contabilidad, CSS, Photoshop",2025-03-13,Abierto
222,Asistente administrativo,"Importante empresa solicita apoyo en el área de electricidad, python, illustrator.","Electricidad, Python, Illustrator",2025-01-05,Abierto
223,Maestro de matemáticas,"Importante empresa solicita apoyo en el área de electricidad, illustrator.","Electricidad, Illustrator",2024-11-11,Cerrado
224,Mecánico automotriz,"Trabajo temporal relacionado con photoshop, ciencia de datos, carpintería, ventas.","Photoshop, Ciencia de datos, Carpintería, Ventas",2025-01-13,Abierto
225,Enfermero auxiliar,"Colaboración independiente para tareas de photoshop, seo, mecánica automotriz.","Photoshop, SEO, Mecánica automotriz",2025-03-20,Abierto
226,Community manager,"Se busca profesional con experiencia en contabilidad, inglés avanzado, marketing digital, terapia física.","Contabilidad, Inglés avanzado, Marketing digital, Terapia Física",2024-11-07,Cerrado
227,Desarrollador web,"Importante empresa solicita apoyo en el área de diseño gráfico, diseño ux/ui.","Diseño gráfico, Diseño UX/UI",2025-04-20,Cerrado
228,Diseñador gráfico,"Se requiere conocimiento en administración, ciencia de datos.","Administración, Ciencia de datos",2025-01-03,Cerrado
229,Diseñador industrial,"Trabajo temporal relacionado con carpintería, inglés avanzado.","Carpintería, Inglés avanzado",2024-12-28,Abierto
230,Redactor de contenido,"Importante empresa solicita apoyo en el área de programación en java, traducción, electricidad.","Programación en Java, Traducción, Electricidad",2025-04-22,Cerrado
231,Mecánico automotriz,"Se requiere conocimiento en photoshop, terapia física, ventas.","Photoshop, Terapia Física, Ventas",2024-11-30,Cerrado
232,Editor de video,"Se busca profesional con experiencia en terapia física, diseño ux/ui, instalaciones eléctricas.","Terapia Física, Diseño UX/UI, Instalaciones eléctricas",2024-11-15,Cerrado
233,Asistente administrativo,"Colaboración independiente para tareas de seo, atención al cliente, terapia física, marketing digital.","SEO, Atención al cliente, Terapia Física, Marketing digital",2025-04-04,Abierto
234,Barista,"Colaboración independiente para tareas de servicio al cliente, photoshop, traducción, mecánica automotriz.","Servicio al cliente, Photoshop, Traducción, Mecánica automotriz",2024-10-29,Abierto
235,Instalador eléctrico,"Se requiere conocimiento en photoshop, atención al cliente.","Photoshop, Atención al cliente",2024-11-30,Cerrado
236,Auxiliar contable,"Se busca profesional con experiencia en contabilidad, instalaciones eléctricas.","Contabilidad, Instalaciones eléctricas",2024-12-26,Cerrado
237,Psicólogo educativo,"Colaboración independiente para tareas de tramitología, illustrator, instalaciones eléctricas, seo.","Tramitología, Illustrator, Instalaciones eléctricas, SEO",2025-04-05,Abierto
238,Repartidor,"Colaboración independiente para tareas de javascript, electricidad.","JavaScript, Electricidad",2024-11-16,Cerrado
239,Psicólogo educativo,"Se busca profesional con experiencia en javascript, terapia física, mecánica automotriz.","JavaScript, Terapia Física, Mecánica automotriz",2024-12-19,Abierto
240,Técnico en soporte,"Importante empresa solicita apoyo en el área de soporte técnico, seo, ciencia de datos, servicio al cliente.","Soporte técnico, SEO, Ciencia de datos, Servicio al cliente",2025-04-01,Abierto
241,Mecánico automotriz,"Trabajo temporal relacionado con instalaciones eléctricas, html, python.","Instalaciones eléctricas, HTML, Python",2025-01-11,Cerrado
242,Mecánico automotriz,"Trabajo temporal relacionado con traducción, photoshop, mecánica automotriz, inglés avanzado.","Traducción, Photoshop, Mecánica automotriz, Inglés avanzado",2025-02-19,Abierto
243,Fotógrafo,"Se busca profesional con experiencia en programación en java, carpintería, servicio al cliente, marketing digital.","Programación en Java, Carpintería, Servicio al cliente, Marketing digital",2025-04-20,Cerrado
244,Instalador eléctrico,"Se busca profesional con experiencia en diseño gráfico, contabilidad, marketing digital, atención al cliente.","Diseño gráfico, Contabilidad, Marketing digital, Atención al cliente",2025-04-20,Cerrado
245,Electricista,"Colaboración independiente para tareas de administración, seo.","Administración, SEO",2025-04-23,Abierto
246,Profesor de inglés,"Importante empresa solicita apoyo en el área de diseño ux/ui, python, administración.","Diseño UX/UI, Python, Administración",2025-04-17,Abierto
247,Cocinero,"Importante empresa solicita apoyo en el área de traducción, seo, css.","Traducción, SEO, CSS",2024-12-09,Abierto
248,Auxiliar contable,"Se busca profesional con experiencia en administración, tramitología.","Administración, Tramitología",2025-02-05,Abierto
249,Editor de video,"Importante empresa solicita apoyo en el área de redacción, ventas.","Redacción, Ventas",2025-01-15,Cerrado
250,Instalador eléctrico,"Se requiere conocimiento en ciencia de datos, css.","Ciencia de datos, CSS",2025-01-23,Abierto
251,Community manager,"Colaboración independiente para tareas de css, electricidad.","CSS, Electricidad",2025-02-22,Cerrado
252,Vendedor telefónico,"Colaboración independiente para tareas de diseño gráfico, html.","Diseño gráfico, HTML",2024-11-17,Cerrado
253,Redactor de contenido,"Trabajo temporal relacionado con diseño ux/ui, ciencia de datos, html.","Diseño UX/UI, Ciencia de datos, HTML",2024-12-27,Cerrado
254,Fotógrafo,"Se requiere conocimiento en html, python.","HTML, Python",2024-11-22,Abierto
255,Asistente administrativo,"Importante empresa solicita apoyo en el área de css, marketing digital, python.","CSS, Marketing digital, Python",2024-12-06,Abierto
256,Especialista en SEO,"Se requiere conocimiento en traducción, programación en java, servicio al cliente, contabilidad.","Traducción, Programación en Java, Servicio al cliente, Contabilidad",2025-03-28,Abierto
257,Técnico en soporte,"Se requiere conocimiento en mecánica automotriz, instalaciones eléctricas, ventas.","Mecánica automotriz, Instalaciones eléctricas, Ventas",2025-02-21,Cerrado
258,Profesor de inglés,"Colaboración independiente para tareas de css, terapia física, diseño gráfico.","CSS, Terapia Física, Diseño gráfico",2024-12-09,Abierto
259,Community manager,"Colaboración independiente para tareas de marketing digital, soporte técnico, diseño gráfico.","Marketing digital, Soporte técnico, Diseño gráfico",2024-11-17,Abierto
260,Cocinero,"Importante empresa solicita apoyo en el área de python, servicio al cliente.","Python, Servicio al cliente",2024-12-22,Abierto
261,Community manager,"Colaboración independiente para tareas de electricidad, redacción, html, diseño gráfico.","Electricidad, Redacción, HTML, Diseño gráfico",2025-01-26,Cerrado
262,Fotógrafo,"Trabajo temporal relacionado con electricidad, javascript, tramitología, soporte técnico.","Electricidad, JavaScript, Tramitología, Soporte técnico",2025-04-13,Abierto
263,Diseñador UX/UI,"Trabajo temporal relacionado con diseño gráfico, programación en java.","Diseño gráfico, Programación en Java",2025-01-09,Abierto
