habilidades,experiencia_lab,calificacion,nivel,profesion,ID,disponibilidad
"Soporte técnico, CSS, Programación en Java, Atención al cliente, Tramitología",5,4.4,Senior,Otro,265,Medio tiempo
"Diseño UX/UI, Terapia Física, Tramitología, Instalaciones eléctricas",19,3.3,Medio,Otro,266,Tiempo completo
"Administración, Soporte técnico, HTML",11,4.5,Medio,Ingeniero,267,Tiempo completo
"Diseño UX/UI, Electricidad, Terapia Física",10,4.0,Junior,Licenciado,268,Medio tiempo
"Terapia Física, Instalaciones eléctricas, Ciencia de datos",19,1.1,Senior,Otro,269,Tiempo completo
"Tramitología, Ventas, Traducción, Administración",18,1.4,Junior,Otro,270,Tiempo completo
"Ventas, Atención al cliente, Terapia Física, Tramitología",15,1.3,Medio,Otro,271,Tiempo completo
"Terapia Física, Traducción, Instalaciones eléctricas, Contabilidad",17,4.1,Senior,Otro,272,Medio tiempo
"SEO, Diseño gráfico, Ventas, Diseño UX/UI",18,1.9,Junior,Otro,273,Medio tiempo
"Marketing digital, Terapia Física, Instalaciones eléctricas, Illustrator, Servicio al cliente",11,4.8,Senior,Otro,274,Tiempo completo
"Diseño UX/UI, Traducción, Instalaciones eléctricas, Mecánica automotriz, Diseño gráfico",7,3.6,Junior,Otro,275,Medio tiempo
"Servicio al cliente, HTML, Photoshop",10,4.0,Junior,Otro,276,Medio tiempo
"Redacción, CSS, Python, Programación en Java",3,1.6,Medio,Otro,277,Tiempo completo
"Traducción, SEO, CSS",4,1.3,Senior,Otro,278,Medio tiempo
"Instalaciones eléctricas, SEO, Soporte técnico",14,2.2,Senior,Otro,279,Tiempo completo
"Terapia Física, Python, Diseño UX/UI, Diseño gráfico",4,1.8,Medio,Otro,280,Medio tiempo
"Ciencia de datos, Soporte técnico, Diseño UX/UI, Carpintería, Traducción",8,3.5,Junior,Otro,281,Tiempo completo
"Illustrator, Redacción, Programación en Java, Mecánica automotriz",9,4.1,Junior,Otro,282,Tiempo completo
"Administración, CSS, SEO, Python",3,3.1,Senior,Otro,283,Tiempo completo
"JavaScript, Programación en Java, Marketing digital, Tramitología",17,2.1,Medio,Otro,284,Tiempo completo
"Instalaciones eléctricas, Atención al cliente, Ciencia de datos, Terapia Física",14,2.8,Junior,Otro,285,Tiempo completo
"Inglés avanzado, Soporte técnico, Programación en Java, Diseño UX/UI, Servicio al cliente",13,4.8,Senior,Otro,286,Medio tiempo
"Servicio al cliente, Python, Redacción, Ventas",9,4.8,Junior,Licenciado,287,Medio tiempo
"Instalaciones eléctricas, Python, SEO",5,2.3,Senior,Otro,288,Tiempo completo
"Photoshop, Ciencia de datos, Python",3,2.8,Senior,Otro,289,Tiempo completo
"Electricidad, Diseño gráfico, Contabilidad, Redacción",4,2.1,Junior,Otro,290,Medio tiempo
"Photoshop, Marketing digital, SEO, Soporte técnico",20,2.4,Medio,Otro,291,Medio tiempo
"Administración, Atención al cliente, Contabilidad",9,4.9,Medio,Ingeniero,292,Tiempo completo
"Programación en Java, Python, Inglés avanzado, HTML, Tramitología",5,1.3,Junior,Otro,293,Tiempo completo
"Administración, JavaScript, Python, Contabilidad, Illustrator",13,4.9,Junior,Otro,294,Tiempo completo
"Python, Traducción, Inglés avanzado, Diseño UX/UI",12,2.8,Junior,Otro,295,Tiempo completo
"Terapia Física, Carpintería, Soporte técnico",14,2.2,Medio,Otro,296,Medio tiempo
"Diseño UX/UI, Tramitología, Python, Instalaciones eléctricas, HTML",17,2.1,Senior,Otro,297,Medio tiempo
"Terapia Física, Marketing digital, Contabilidad, Instalaciones eléctricas, Electricidad",4,1.7,Junior,Otro,298,Tiempo completo
"Ciencia de datos, SEO, Servicio al cliente, Inglés avanzado",5,4.2,Senior,Otro,299,Tiempo completo
"Redacción, Mecánica automotriz, Programación en Java",14,3.6,Junior,Otro,300,Medio tiempo
"Electricidad, Python, Contabilidad",2,4.4,Junior,Otro,301,Tiempo completo
"Mecánica automotriz, Photoshop, JavaScript",12,4.0,Medio,Otro,302,Medio tiempo
"CSS, Atención al cliente, HTML, Marketing digital, Terapia Física",15,4.6,Senior,Otro,303,Tiempo completo
"Ciencia de datos, CSS, Mecánica automotriz",15,1.3,Junior,Otro,304,Tiempo completo
"Ventas, Marketing digital, Diseño gráfico, Carpintería, HTML",8,1.7,Junior,Otro,305,Medio tiempo
"HTML, Ciencia de datos, Redacción, Terapia Física",6,3.1,Senior,Otro,306,Tiempo completo
"Atención al cliente, JavaScript, HTML, Redacción, Inglés avanzado",10,3.4,Senior,Otro,307,Medio tiempo
"Marketing digital, Redacción, HTML, JavaScript",18,4.2,Senior,Otro,308,Tiempo completo
"Diseño UX/UI, Photoshop, Contabilidad",16,1.9,Medio,Otro,309,Tiempo completo
"Servicio al cliente, Mecánica automotriz, Carpintería, SEO, HTML",18,1.9,Senior,Otro,310,Medio tiempo
"Illustrator, Soporte técnico, Ventas",19,5.0,Junior,Otro,311,Tiempo completo
"Redacción, Traducción, Diseño gráfico, SEO",1,2.1,Senior,Ingeniero,312,Tiempo completo
"Inglés avanzado, Ventas, Atención al cliente, Redacción, Tramitología",3,4.6,Medio,Otro,313,Tiempo completo
"Carpintería, Traducción, Diseño gráfico",14,4.1,Medio,Otro,314,Medio tiempo
"JavaScript, Ciencia de datos, Contabilidad, HTML",5,5.0,Senior,Otro,315,Tiempo completo
"Ciencia de datos, Inglés avanzado, Electricidad",5,4.5,Medio,Otro,316,Medio tiempo
"Ventas, HTML, Ciencia de datos, Mecánica automotriz",16,1.9,Junior,Otro,317,Tiempo completo
"CSS, Atención al cliente, Python",17,3.6,Senior,Otro,318,Tiempo completo
"Marketing digital, Programación en Java, Python, Photoshop, Terapia Física",13,4.7,Medio,Otro,319,Medio tiempo
"CSS, HTML, Mecánica automotriz",13,2.4,Senior,Otro,320,Medio tiempo
"SEO, Ventas, Inglés avanzado, Marketing digital, Diseño gráfico",5,4.6,Senior,Otro,321,Medio tiempo
"Traducción, Diseño UX/UI, HTML",6,2.4,Medio,Otro,322,Tiempo completo
"Ciencia de datos, Administración, Tramitología, CSS, Inglés avanzado",6,3.2,Senior,Otro,323,Medio tiempo
"Illustrator, Mecánica automotriz, Atención al cliente, Ciencia de datos",5,1.1,Senior,Otro,324,Medio tiempo
"Ventas, Terapia Física, Python, Administración, SEO",13,2.2,Medio,Otro,325,Tiempo completo
"Diseño UX/UI, Marketing digital, Ciencia de datos, Carpintería, Python",20,3.2,Medio,Otro,326,Medio tiempo
"Marketing digital, Diseño UX/UI, Atención al cliente, Diseño gráfico, Photoshop",20,3.5,Medio,Otro,327,Medio tiempo
"Administración, Python, Electricidad, Diseño gráfico",13,2.8,Senior,Licenciado,328,Medio tiempo
"Servicio al cliente, Ciencia de datos, Ventas",4,3.1,Medio,Otro,329,Tiempo completo
"Ventas, Contabilidad, Terapia Física, SEO",4,1.4,Junior,Otro,330,Tiempo completo
"Tramitología, Servicio al cliente, Carpintería, HTML, Inglés avanzado",17,3.0,Medio,Otro,331,Medio tiempo
"Photoshop, Instalaciones eléctricas, Python, Inglés avanzado, Marketing digital",9,3.8,Junior,Otro,332,Medio tiempo
"Inglés avanzado, Soporte técnico, Atención al cliente, Tramitología",18,2.6,Junior,Otro,333,Medio tiempo
"Servicio al cliente, Marketing digital, Diseño UX/UI, Administración",15,4.9,Senior,Otro,334,Medio tiempo
"Instalaciones eléctricas, Soporte técnico, Carpintería, Administración, JavaScript",16,3.5,Junior,Otro,335,Tiempo completo
"Servicio al cliente, JavaScript, HTML, Soporte técnico",14,4.7,Medio,Otro,336,Medio tiempo
"Diseño UX/UI, JavaScript, Servicio al cliente",18,1.9,Senior,Otro,337,Medio tiempo
"HTML, Illustrator, JavaScript, Diseño gráfico",3,3.4,Medio,Licenciado,338,Medio tiempo
"Ciencia de datos, Atención al cliente, Soporte técnico",14,3.7,Senior,Otro,339,Tiempo completo
"Contabilidad, Traducción, Diseño gráfico, Carpintería",9,2.3,Senior,Otro,340,Tiempo completo
"Administración, Ciencia de datos, Diseño UX/UI",2,3.3,Junior,Otro,341,Medio tiempo
"JavaScript, SEO, Administración, Ciencia de datos, Illustrator",3,2.3,Junior,Otro,342,Tiempo completo
"CSS, Tramitología, Photoshop, Diseño gráfico",12,2.7,Junior,Otro,343,Tiempo completo
"Programación en Java, Traducción, Tramitología",18,2.6,Senior,Otro,344,Tiempo completo
"HTML, Inglés avanzado, Illustrator, Python, Contabilidad",4,1.7,Junior,Otro,345,Tiempo completo
"Photoshop, Atención al cliente, Diseño UX/UI, Soporte técnico, Servicio al cliente",1,4.8,Senior,Otro,346,Tiempo completo
"Atención al cliente, Programación en Java, Carpintería",12,4.6,Medio,Licenciado,347,Medio tiempo
"Atención al cliente, JavaScript, SEO, Ciencia de datos",7,4.2,Junior,Otro,348,Medio tiempo
"Soporte técnico, Marketing digital, CSS",6,1.5,Senior,Otro,349,Tiempo completo
"Inglés avanzado, Marketing digital, SEO",17,2.1,Medio,Otro,350,Tiempo completo
"HTML, Atención al cliente, Python, Carpintería",14,4.8,Medio,Otro,351,Tiempo completo
"Mecánica automotriz, Tramitología, Photoshop, SEO, Electricidad",2,2.9,Senior,Otro,352,Medio tiempo
"Diseño UX/UI, Atención al cliente, Instalaciones eléctricas, Diseño gráfico, Administración",6,2.1,Senior,Otro,353,Medio tiempo
"HTML, Servicio al cliente, Inglés avanzado",10,3.5,Medio,Ingeniero,354,Tiempo completo
"Administración, Soporte técnico, Diseño UX/UI",4,1.2,Medio,Otro,355,Tiempo completo
"SEO, Terapia Física, Administración, Electricidad",5,1.5,Medio,Otro,356,Tiempo completo
"Electricidad, Ciencia de datos, Instalaciones eléctricas, Inglés avanzado, JavaScript",1,4.7,Junior,Otro,357,Tiempo completo
"Diseño UX/UI, Administración, Contabilidad, Mecánica automotriz, HTML",10,1.4,Senior,Otro,358,Tiempo completo
"Contabilidad, JavaScript, HTML",19,1.4,Junior,Otro,359,Tiempo completo
"Servicio al cliente, Terapia Física, Photoshop, HTML",5,2.8,Junior,Otro,360,Tiempo completo
"Ventas, Marketing digital, Carpintería",11,4.7,Medio,Otro,361,Tiempo completo
"Carpintería, Terapia Física, Instalaciones eléctricas",6,4.3,Junior,Otro,362,Medio tiempo
"Administración, Diseño gráfico, Python",13,2.3,Senior,Otro,363,Medio tiempo
"Carpintería, Atención al cliente, Traducción, Electricidad",8,2.1,Medio,Otro,364,Medio tiempo
"Contabilidad, HTML, Programación en Java, Carpintería, Terapia Física",14,2.6,Junior,Otro,365,Tiempo completo
"HTML, Terapia Física, Soporte técnico, Redacción",20,2.6,Medio,Otro,366,Medio tiempo
"Mecánica automotriz, Ciencia de datos, Electricidad",12,3.5,Medio,Ingeniero,367,Medio tiempo
"Atención al cliente, JavaScript, CSS, Illustrator",17,4.8,Junior,Otro,368,Tiempo completo
"HTML, Redacción, Illustrator, Marketing digital, Diseño gráfico",8,3.6,Junior,Otro,369,Medio tiempo
"Atención al cliente, Tramitología, Python, Electricidad",19,3.5,Junior,Otro,370,Tiempo completo
"Electricidad, Illustrator, Python, Redacción, Tramitología",7,3.8,Senior,Otro,371,Medio tiempo
"Atención al cliente, Carpintería, Administración, SEO, Mecánica automotriz",20,1.9,Medio,Otro,372,Tiempo completo
"Instalaciones eléctricas, Tramitología, Diseño gráfico, CSS, Illustrator",9,2.7,Medio,Otro,373,Medio tiempo
"Diseño UX/UI, Carpintería, Instalaciones eléctricas, Electricidad",16,2.3,Medio,Otro,374,Medio tiempo
"Tramitología, Administración, Photoshop, Traducción",1,1.7,Medio,Otro,375,Medio tiempo
"SEO, Ventas, Soporte técnico, Python",5,1.3,Junior,Otro,376,Tiempo completo
"Instalaciones eléctricas, Electricidad, Python, JavaScript, Redacción",11,1.4,Medio,Otro,377,Tiempo completo
"Photoshop, Mecánica automotriz, Programación en Java",5,2.6,Medio,Otro,378,Medio tiempo
"Redacción, Mecánica automotriz, Administración",4,2.9,Junior,Otro,379,Medio tiempo
"Marketing digital, Programación en Java, SEO",17,3.3,Senior,Ingeniero,380,Tiempo completo
"Photoshop, Contabilidad, JavaScript",8,3.5,Medio,Otro,381,Tiempo completo
"Photoshop, Traducción, CSS, Ciencia de datos",16,4.3,Junior,Otro,382,Medio tiempo
"Programación en Java, SEO, Python",19,4.9,Senior,Otro,383,Tiempo completo
"Traducción, Programación en Java, Terapia Física",14,4.0,Junior,Otro,384,Medio tiempo
"Mecánica automotriz, JavaScript, Terapia Física, CSS",14,2.5,Senior,Otro,385,Medio tiempo
"Programación en Java, Diseño UX/UI, Soporte técnico",4,4.4,Junior,Otro,386,Tiempo completo
"Administración, Programación en Java, Inglés avanzado, HTML, SEO",4,3.3,Senior,Otro,387,Tiempo completo
"Diseño UX/UI, JavaScript, Redacción",6,4.8,Senior,Otro,388,Medio tiempo
"Administración, Illustrator, Contabilidad, Redacción",17,2.7,Junior,Otro,389,Tiempo completo
"Administración, Mecánica automotriz, Illustrator, Photoshop, Servicio al cliente",17,4.3,Medio,Otro,390,Medio tiempo
"Tramitología, Instalaciones eléctricas, Ventas",18,3.9,Medio,Otro,391,Medio tiempo
"Mecánica automotriz, Soporte técnico, Atención al cliente, Diseño gráfico",11,2.4,Medio,Otro,392,Tiempo completo
"Instalaciones eléctricas, Illustrator, Traducción",8,3.4,Junior,Licenciado,393,Tiempo completo
"CSS, Carpintería, Soporte técnico, Programación en Java",19,4.3,Medio,Otro,394,Tiempo completo
"Ventas, Mecánica automotriz, JavaScript",5,3.0,Junior,Otro,395,Medio tiempo
"Mecánica automotriz, Atención al cliente, Diseño gráfico, Soporte técnico, Instalaciones eléctricas",13,2.5,Medio,Otro,396,Tiempo completo
"Ciencia de datos, Tramitología, JavaScript, Servicio al cliente",1,3.1,Senior,Otro,397,Medio tiempo
"Contabilidad, Ciencia de datos, Soporte técnico",16,1.4,Medio,Otro,398,Tiempo completo
"JavaScript, Atención al cliente, Ventas, Mecánica automotriz",3,3.1,Senior,Otro,399,Tiempo completo
"Carpintería, Electricidad, SEO, Diseño gráfico",5,1.4,Junior,Otro,400,Tiempo completo
"Redacción, Atención al cliente, JavaScript",5,2.6,Junior,Otro,401,Medio tiempo
"Programación en Java, Administración, Inglés avanzado, Mecánica automotriz",1,3.3,Junior,Otro,402,Medio tiempo
"Servicio al cliente, Electricidad, Diseño gráfico",11,2.0,Senior,Otro,403,Tiempo completo
"Ciencia de datos, CSS, Redacción, Illustrator",13,2.6,Senior,Otro,404,Tiempo completo
"Photoshop, Atención al cliente, Soporte técnico, Tramitología, Redacción",16,2.0,Junior,Otro,405,Tiempo completo
"Soporte técnico, Administración, Redacción, Electricidad, Contabilidad",17,2.3,Senior,Otro,406,Tiempo completo
"Redacción, Servicio al cliente, Atención al cliente, JavaScript",5,1.8,Medio,Otro,407,Medio tiempo
"Atención al cliente, Illustrator, Servicio al cliente",12,3.3,Senior,Otro,408,Medio tiempo
"Terapia Física, Electricidad, Diseño UX/UI",18,3.6,Medio,Otro,409,Medio tiempo
"Tramitología, Inglés avanzado, Atención al cliente",1,2.4,Senior,Otro,410,Tiempo completo
"Terapia Física, Atención al cliente, Diseño gráfico",8,2.9,Junior,Otro,411,Medio tiempo
"Administración, Traducción, Programación en Java, JavaScript, Carpintería",8,1.2,Junior,Otro,412,Tiempo completo
"Photoshop, Administración, Inglés avanzado",8,4.3,Junior,Otro,413,Tiempo completo
"Illustrator, Tramitología, Inglés avanzado",13,4.4,Senior,Otro,414,Medio tiempo
"JavaScript, SEO, Marketing digital",15,2.6,Medio,Otro,415,Tiempo completo
"Diseño gráfico, Diseño UX/UI, Servicio al cliente, Photoshop, Atención al cliente",18,4.0,Senior,Otro,416,Tiempo completo
"Electricidad, Servicio al cliente, Diseño gráfico",17,1.8,Medio,Otro,417,Medio tiempo
"SEO, Instalaciones eléctricas, Marketing digital, Administración, Mecánica automotriz",6,1.6,Junior,Otro,418,Tiempo completo
"Illustrator, SEO, Contabilidad",6,1.5,Junior,Otro,419,Medio tiempo
"Python, Terapia Física, Mecánica automotriz, Redacción, Servicio al cliente",20,1.9,Senior,Otro,420,Tiempo completo
"Atención al cliente, Ciencia de datos, Python, Terapia Física",16,4.0,Senior,Otro,421,Tiempo completo
"Python, Instalaciones eléctricas, Photoshop, SEO",4,4.6,Medio,Otro,422,Medio tiempo
"Servicio al cliente, Soporte técnico, Tramitología",17,1.6,Junior,Otro,423,Medio tiempo
"Carpintería, CSS, Python, Ciencia de datos",8,3.6,Junior,Otro,424,Medio tiempo
"Photoshop, JavaScript, Servicio al cliente, Redacción",14,4.8,Senior,Otro,425,Tiempo completo
"Marketing digital, Ciencia de datos, Contabilidad, Photoshop, Atención al cliente",20,1.5,Senior,Otro,426,Tiempo completo
"Diseño UX/UI, CSS, Terapia Física, Photoshop, Python",5,3.1,Junior,Otro,427,Tiempo completo
"Marketing digital, Mecánica automotriz, SEO",19,2.4,Medio,Otro,428,Tiempo completo
"CSS, HTML, Carpintería, Instalaciones eléctricas",3,2.9,Medio,Ingeniero,429,Tiempo completo
"Traducción, Soporte técnico, Ventas, Marketing digital",12,3.0,Junior,Otro,430,Medio tiempo
"Ventas, Atención al cliente, HTML, Python",2,2.1,Senior,Licenciado,431,Medio tiempo
"Atención al cliente, Contabilidad, SEO, Soporte técnico, Inglés avanzado",16,4.6,Senior,Otro,432,Medio tiempo
"Python, Ventas, Carpintería, Traducción",4,1.2,Medio,Otro,433,Medio tiempo
"Photoshop, Instalaciones eléctricas, SEO, Inglés avanzado",6,3.9,Medio,Otro,434,Tiempo completo
"Photoshop, CSS, Servicio al cliente",4,3.9,Junior,Otro,435,Tiempo completo
"Photoshop, Inglés avanzado, Ciencia de datos, Soporte técnico, Carpintería",13,2.4,Senior,Otro,436,Medio tiempo
"Marketing digital, SEO, Carpintería, Diseño gráfico",7,3.3,Junior,Otro,437,Medio tiempo
"Photoshop, Diseño gráfico, Atención al cliente, Python, Ventas",19,4.0,Senior,Otro,438,Tiempo completo
"Soporte técnico, Atención al cliente, Instalaciones eléctricas, Electricidad, Administración",19,1.1,Senior,Otro,439,Tiempo completo
"SEO, Tramitología, CSS, Administración",3,3.2,Senior,Otro,440,Tiempo completo
"JavaScript, Programación en Java, Illustrator, Redacción",1,2.9,Senior,Otro,441,Tiempo completo
"Contabilidad, Carpintería, Tramitología, Python, Programación en Java",7,3.9,Junior,Otro,442,Medio tiempo
"Diseño UX/UI, Python, Electricidad",10,3.7,Junior,Otro,443,Tiempo completo
"Traducción, Servicio al cliente, Illustrator",19,4.6,Medio,Otro,444,Tiempo completo
"Redacción, Photoshop, Instalaciones eléctricas",16,4.2,Senior,Otro,445,Medio tiempo
"Illustrator, JavaScript, Contabilidad, Soporte técnico",18,2.3,Junior,Otro,446,Medio tiempo
"CSS, Python, HTML, Atención al cliente",11,2.7,Senior,Otro,447,Tiempo completo
"Terapia Física, SEO, Tramitología, Programación en Java",10,1.3,Junior,Otro,448,Tiempo completo
"Instalaciones eléctricas, Terapia Física, JavaScript, Mecánica automotriz, SEO",17,4.8,Senior,Otro,449,Medio tiempo
"Servicio al cliente, Illustrator, Soporte técnico",16,3.9,Junior,Otro,450,Tiempo completo
"Tramitología, Administración, Contabilidad",5,3.9,Medio,Otro,451,Tiempo completo
"Illustrator, Inglés avanzado, Administración, Diseño gráfico, Ciencia de datos",13,3.1,Medio,Otro,452,Tiempo completo
"Instalaciones eléctricas, Contabilidad, HTML, Mecánica automotriz, SEO",18,1.6,Medio,Otro,453,Tiempo completo
"Ventas, Carpintería, Diseño UX/UI, Contabilidad",13,1.1,Senior,Otro,454,Tiempo completo
